iter	RMSE
0	3.069604355
1	3.05838048122	3.04743979
3	3.036837346
4	3.026687227
5	3.016349546
6	3.006154316
7	2.995850789
8	2.985910257
9	2.97546163
10	2.965658795
11	2.955797368
12	2.946545612
13	2.937317342114	2.927863009115	2.918558382116	2.909223255117	2.900389451818	2.891295011919	2.882420562020	2.873539862121	2.865025362222	2.856375892323	2.847924892424	2.839788082525	2.831695412626	2.823642662727	2.815557428	28	2.807426929	29	2.799531930	30	2.79208931	231	2.78416932	232	2.77594933	233	2.76819334	234	2.76090935	235	2.75305836	236	2.74587537	237	2.73875638	238	2.73222139	239	2.72530640	240	2.71883741	441	2.71219342	442	2.70577143	443	2.69961744	44	2.69357945	245	2.68684146	246	2.68071547	447	2.67462448	448	2.66844549449	2.66192195050	2.655747825551	2.649405725552	2.643633995553	2.637433554554	2.631783155555	2.626269656556	2.620834857557	2.615723458558	2.610544255959	2.60496716660	2.599620666661	2.594348446662	2.589448826663	2.58396146464	2.579048326565	2.574177366	66	2.569007267	67	2.563892368	68	2.559510369	69	2.554997070	70	2.549665471	71	2.544347972772	2.53991473	773	2.53487174	774	2.5297975	275	2.52534476	276	2.52074177	77	2.516333978	78	2.51177627979	2.507654748080	2.503055628181	2.499031708282	2.495411828383	2.490797618484	2.486240978585	2.482281198686	2.477882788787	2.474269808888	2.470164038989	2.466267679090	2.462606899191	2.459157292	92	2.455734493	93	2.452235994	94	2.4486562995	2.445163174996	2.441601926997	2.438313897998	2.435284962999	2.4323537761100	2.4291687871101	2.4256386191102	2.4217508671103	2.41840436
104	2.414937913
105	2.4116047281106	2.4085888261107	2.4057510621108	2.4026685221109	2.39921461
110	2.39656276
111	2.393723971
112	2.390832712
113	2.388123576
114	2.385243046
115	2.382311325
116	2.3797666
117	2.377266828
118	2.374758824
119	2.372106623
120	2.369558993
121	2.365903543
122	2.362735003
123	2.359992936
124	2.357907112
125	2.355936118
126	2.353472441
127	2.350851314
128	2.34825153
129	2.345823954
130	2.343160941
131	2.340180387
132	2.338295847
133	2.335403296
134	2.333671634
135	2.331399894
136	2.329476521
137	2.327094046
138	2.324608216
139	2.321996044
140	2.319754656
141	2.317840317
142	2.316289837
143	2.314337443
144	2.312755922
145	2.310923819
146	2.308666911
147	2.307106154
148	2.305174059
149	2.303174549
150	2.301705555
151	2.298985621
152	2.297038023
153	2.295014229
154	2.293026008
155	2.291272486
156	2.289028247
157	2.286658779
158	2.283909912
159	2.281923704
160	2.280080965
161	2.278446044
162	2.27614502
163	2.274612267
164	2.273436751
165	2.2718848831166	2.2706717751167	2.2687298421168	2.2674565131169	2.2652887541170	2.2636954211171	2.2626872061172	2.2609033417173	2.2593643217174	2.2576563817175	2.2560453117176	2.2544260017177	2.2529161317178	2.2516824217179	2.2501897618180	2.2486718818181	2.2467561818182	2.2452811118183	2.2437691118184	2.2427715318185	2.2418279918186	2.2407249418187	2.2392311318188	2.237513341189	2.2361967321190	2.23491061
191	2.233631954
192	2.232321748
193	2.2307390121194	2.2293819161195	2.2280475921196	2.2265332731197	2.2250182841198	2.224341961199	2.2227537112200	2.2217856642201	2.2202819752202	2.21863858
203	2.217648577
204	2.216187989
205	2.2148318
206	2.213782018
207	2.213135753
208	2.212206642
209	2.210665879
210	2.209726756
211	2.209167013
212	2.208521088
213	2.207327148
214	2.205827998
215	2.204831847
216	2.204016807
217	2.202959144
218	2.201883021
219	2.200398998
220	2.19902073
221	2.197571849
222	2.196515302
223	2.195077896
224	2.19410288
225	2.1929316
226	2.191824009
227	2.190971755
228	2.189656476
229	2.189223519
230	2.188498371
231	2.187218668
232	2.186097631
233	2.184303015
234	2.183332456
235	2.182430214
236	2.181318958
237	2.180550506
238	2.179763423
239	2.178846283
240	2.1782052662241	2.1772269752242	2.1758750642243	2.1752029712244	2.17450975
245	2.17337302
246	2.172691132
247	2.171725357
248	2.170221692
249	2.16943313
250	2.168303301
251	2.166910629
252	2.165971437
253	2.165011625
254	2.164044168
255	2.163269878
256	2.162437638
257	2.161730609
258	2.160754978
259	2.159855249
260	2.158489244
261	2.157368141
262	2.156399524
263	2.1560912182264	2.1554740642265	2.1549567962266	2.1542205492267	2.1530435312268	2.1518664072269	2.1512248722270	2.15040902
271	2.149596071
272	2.148362744
273	2.147602076
274	2.146489907
275	2.1453157472276	2.1441148442277	2.1427513222278	2.1411312
279	2.140925407
280	2.140458002
281	2.139035874
282	2.138165028
283	2.137063592
284	2.136838072
285	2.136379168
286	2.135837614
287	2.135309614
288	2.134250096
289	2.132979732
290	2.132120894
291	2.131683507
292	2.131042736
293	2.130217259
294	2.129921115
295	2.128879925
296	2.127931821
297	2.126855565
298	2.125720186
299	2.12500715
300	2.12478249
301	2.124159624
302	2.123241291
303	2.122089265
304	2.121592689
305	2.121038112
306	2.120141027
307	2.119235389
308	2.118106893
309	2.117345114
