iter	RMSE
0	2.385276392
1	2.381061339
2	2.378915549
3	2.375233312
4	2.371011115
5	2.368522402
6	2.363998172
7	2.358784615
8	2.356404629
9	2.355043658
10	2.352651128
11	2.348003605
12	2.344817183
13	2.341679281
14	2.339001083
15	2.336596868
16	2.332634393
17	2.33031723
18	2.326894698
19	2.324590171
20	2.322498027
21	2.322109352
22	2.319237549
23	2.318363336
24	2.315551459
25	2.314256423
26	2.310371053
27	2.307030569
28	2.305066114
29	2.301779665
30	2.299486827
31	2.296329085
32	2.295070865
33	2.293420916
34	2.291050717
35	2.288897829
36	2.287014573
37	2.284494743
38	2.282369337
39	2.281191969
40	2.277619402
41	2.274746972
42	2.271926093
43	2.269797745
44	2.267306772
45	2.265906001
46	2.263432718
47	2.260933284
48	2.259949025
49	2.258018816
50	2.255877509
51	2.253614659
52	2.251608553
53	2.250150463
54	2.247830406
55	2.24640454
56	2.243205392
57	2.241905457
58	2.239576521
59	2.236974668
60	2.235324431
61	2.23371555
62	2.232219959
63	2.230849919
64	2.229519881
65	2.228105366
66	2.227140145
67	2.224522879
68	2.221765494
69	2.220369541
70	2.219080715
71	2.217795168
72	2.21568506
73	2.214254805
74	2.212766753
75	2.211571201
76	2.211160633
77	2.209961169
78	2.206872747
79	2.205238736
80	2.203741225
81	2.201400398
82	2.200242858
83	2.198234518
84	2.197784771
85	2.195338891
86	2.193354307
87	2.193316353
88	2.192961828
89	2.190442253
90	2.188207317
91	2.186537227
92	2.185511657
