iter	Passed	Remaining
0	1	1310
1	2	1327
2	4	1332
3	5	1474
4	7	1481
5	8	1451
6	10	1459
7	11	1470
8	13	1476
9	15	1493
10	16	1473
11	17	1470
12	19	1483
13	20	1468
14	22	1463
15	23	1450
16	24	1444
17	26	1449
18	27	1433
19	29	1427
20	30	1419
21	30	1366
22	32	1364
23	33	1364
24	35	1368
25	36	1380
26	38	1385
27	39	1382
28	41	1378
29	42	1379
30	43	1374
31	45	1375
32	46	1370
33	48	1363
34	49	1362
35	51	1369
36	52	1372
37	54	1373
38	55	1370
39	56	1367
40	58	1366
41	59	1362
42	61	1363
43	63	1374
44	64	1377
45	66	1379
46	68	1383
47	69	1384
48	71	1380
49	72	1376
50	74	1377
51	75	1375
52	76	1371
53	78	1370
54	79	1366
55	80	1363
56	82	1359
57	83	1362
58	85	1358
59	86	1353
60	87	1348
61	88	1342
62	90	1339
63	91	1343
64	93	1338
65	94	1333
66	95	1328
67	96	1324
68	98	1325
69	99	1326
70	101	1321
71	102	1319
72	103	1315
73	104	1311
74	105	1306
75	107	1308
76	108	1303
77	109	1299
78	111	1296
79	112	1293
80	113	1289
81	115	1287
82	116	1286
83	117	1283
84	118	1279
85	120	1278
86	121	1277
87	122	1267
88	122	1257
89	124	1254
90	125	1252
91	126	1249
92	127	1246
